method,split,AUROC,AUPRC,R@P95,R@P99,FPR@R95,FPR@R99,F1*,n,AUROC_CI,AUPRC_CI,AUROC_lo,AUROC_hi
kmer_sim,test_standard,0.9896,0.9890,0.9710,0.9710,0.0000,0.3590,0.9853,186,"[0.9731, 1.0000]","[0.9717, 1.0000]",0.9731,1.0000
cosine_nn_esm2,test_standard,0.9933,0.9931,0.9855,0.9565,0.0000,0.4274,0.9778,186,"[0.9770, 1.0000]","[0.9772, 1.0000]",0.9770,1.0000
linear_esm2,test_standard,0.9948,0.9913,0.9130,0.8261,0.0427,0.0769,0.9577,186,"[0.9880, 0.9989]","[0.9802, 0.9982]",0.9880,0.9989
knn_esm2,test_standard,0.9999,0.9998,1.0000,0.9855,0.0000,0.0085,0.9928,186,"[0.9993, 1.0000]","[0.9989, 1.0000]",0.9993,1.0000
contrastive_esm2,test_standard,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.9857,186,"[1.0000, 1.0000]","[1.0000, 1.0000]",1.0000,1.0000
kmer_sim,test_hard_negative,0.9887,0.9836,0.9710,0.9710,0.0000,0.3913,0.9853,299,"[0.9691, 1.0000]","[0.9556, 1.0000]",0.9691,1.0000
cosine_nn_esm2,test_hard_negative,0.9938,0.9895,0.9565,0.9565,0.0000,0.3696,0.9778,299,"[0.9797, 1.0000]","[0.9688, 1.0000]",0.9797,1.0000
linear_esm2,test_hard_negative,0.9951,0.9848,0.8841,0.8261,0.0391,0.0783,0.9315,299,"[0.9898, 0.9988]","[0.9667, 0.9959]",0.9898,0.9988
knn_esm2,test_hard_negative,0.9953,0.9700,1.0000,0.0000,0.0087,0.0130,0.9787,299,"[0.9879, 1.0000]","[0.9256, 1.0000]",0.9879,1.0000
contrastive_esm2,test_hard_negative,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.9787,299,"[1.0000, 1.0000]","[1.0000, 1.0000]",1.0000,1.0000
kmer_sim,test_seq_divergent,0.8211,0.8539,0.6393,0.5902,0.9036,1.0000,0.7600,144,"[0.7435, 0.8972]","[0.7854, 0.9141]",0.7435,0.8972
cosine_nn_esm2,test_seq_divergent,0.8860,0.8920,0.6230,0.6066,0.6627,0.7711,0.8031,144,"[0.8264, 0.9397]","[0.8259, 0.9391]",0.8264,0.9397
linear_esm2,test_seq_divergent,0.9425,0.9152,0.3934,0.3279,0.1325,0.4940,0.8923,144,"[0.9048, 0.9728]","[0.8530, 0.9652]",0.9048,0.9728
knn_esm2,test_seq_divergent,0.9664,0.9618,0.8033,0.7377,0.1325,1.0000,0.9048,144,"[0.9339, 0.9918]","[0.9263, 0.9894]",0.9339,0.9918
contrastive_esm2,test_seq_divergent,0.9735,0.9726,0.8852,0.6557,0.1205,0.6145,0.9244,144,"[0.9465, 0.9943]","[0.9440, 0.9930]",0.9465,0.9943
kmer_sim,test_adversarial,0.9976,0.9997,0.9980,0.9970,0.0000,0.0073,0.9964,2242,"[0.9954, 0.9993]","[0.9994, 0.9999]",0.9954,0.9993
cosine_nn_esm2,test_adversarial,0.9832,0.9977,0.9893,0.9314,0.0912,0.3905,0.9751,2242,"[0.9783, 0.9874]","[0.9969, 0.9983]",0.9783,0.9874
linear_esm2,test_adversarial,0.9972,0.9996,0.9990,0.9924,0.0073,0.0401,0.9921,2242,"[0.9956, 0.9985]","[0.9994, 0.9998]",0.9956,0.9985
knn_esm2,test_adversarial,0.9995,0.9999,0.9990,0.9990,0.0000,0.0000,0.9995,2242,"[0.9987, 1.0000]","[0.9997, 1.0000]",0.9987,1.0000
contrastive_esm2,test_adversarial,0.9940,0.9992,0.9964,0.9832,0.0073,0.2555,0.9882,2242,"[0.9914, 0.9961]","[0.9988, 0.9995]",0.9914,0.9961
kmer_sim,test_adversarial_mpnn,0.9518,0.9967,0.9810,0.9093,0.3248,1.0000,0.9677,4374,"[0.9444, 0.9591]","[0.9960, 0.9973]",0.9444,0.9591
cosine_nn_esm2,test_adversarial_mpnn,0.9654,0.9976,0.9956,0.9239,0.2080,0.6642,0.9752,4374,"[0.9584, 0.9717]","[0.9970, 0.9981]",0.9584,0.9717
linear_esm2,test_adversarial_mpnn,0.9937,0.9996,1.0000,0.9922,0.0292,0.1314,0.9909,4374,"[0.9911, 0.9958]","[0.9994, 0.9997]",0.9911,0.9958
knn_esm2,test_adversarial_mpnn,0.9974,0.9997,0.9949,0.9949,0.0000,0.0000,0.9974,4374,"[0.9963, 0.9983]","[0.9995, 0.9998]",0.9963,0.9983
contrastive_esm2,test_adversarial_mpnn,0.9907,0.9994,0.9995,0.9807,0.0182,0.2555,0.9860,4374,"[0.9876, 0.9934]","[0.9991, 0.9996]",0.9876,0.9934
